species,temp_min,temp_max,optimal_temp,min_oxygen,pollution_tolerance,breed_start_month,breed_end_month
sardine,24,28,26,5.5,35,6,8
mackerel,23,27,25,5.2,40,7,9
tuna,20,26,24,6.0,50,5,7
anchovy,25,30,27,5.0,30,4,7
pomfret,24,29,26,5.8,35,6,9
seer_fish,22,27,24,6.0,45,4,7
snapper,24,30,27,5.4,40,5,9
hilsa,23,29,26,5.2,30,6,10
ribbon_fish,24,30,27,5.0,45,6,9
croaker,23,29,26,5.3,45,5,9
threadfin_bream,24,30,27,5.2,40,5,8
catfish_marine,25,31,28,5.0,50,6,10
indian_salmon,24,29,26,5.6,40,5,9
barracuda,23,28,25,5.8,45,5,9
trevally,24,30,27,5.6,45,5,9
groupers,24,29,26,5.5,40,6,9
reef_cod,24,29,26,5.5,40,6,9
silver_belly,24,30,27,5.1,35,5,8
goatfish,24,30,27,5.2,40,5,9
sole_fish,24,29,26,5.0,40,6,9
lizardfish,24,30,27,5.1,40,5,9
ponyfish,24,30,27,5.0,35,5,9
queenfish,24,30,27,5.6,45,5,9
needlefish,24,30,27,5.3,40,5,9
butterfish,24,29,26,5.4,35,6,9
scad,24,29,26,5.5,40,5,9
yellowfin_tuna,20,26,24,6.0,50,5,7
skipjack_tuna,21,27,25,6.0,50,5,7
bonito,22,27,25,5.8,45,5,8
king_mackerel,22,27,25,5.8,45,5,8
spanish_mackerel,23,28,26,5.6,40,5,8
red_snapper,24,29,26,5.5,40,5,9
black_pomfret,24,29,26,5.6,35,6,9
silver_pomfret,24,29,26,5.6,35,6,9
